,economy,year,renew_energy_pct,gdp_per_energy_ppp,fossil_energy_pct,elec_use_kwh_pc,co2_total_mt,gdp_deflator_infl_pct,gdp_usd_current,gdp_usd,pop_growth_pct,population_total,urban_pop_pct
4509,LAO,2019,50.5,9.89308156978786,76.2,935.388295294209,19.3699,1.19742392109292,18740561512.5555,18491844275.7106,1.52576304616693,7237636.0,35.645
4510,LAO,2020,50.6,11.2769872238283,74.73,867.75625999366,19.4378,5.03450412544517,18981805250.2424,18584864138.19,1.49338675171473,7346533.0,36.29
4511,LAO,2021,51.5,11.1084300863732,74.45,1030.43071198737,23.8166,3.71344836687553,18827148530.9347,19054754737.3799,1.44141640887407,7453194.0,36.939
4512,LAO,2022,49.2,10.7552268270163,74.9,1263.52575146444,24.5509,15.7739459226011,15468785203.7532,19570648221.6862,1.40971670105791,7559007.0,37.592
4513,LAO,2023,,,,,26.0208,24.4217202066693,15843155731.2552,20303702352.295,1.39237667233214,7664993.0,38.247
4514,LAO,2024,,,,,,13.9087912995067,16502933121.0806,21168286229.0226,1.35832703035837,7769819.0,38.906
4515,LBN,1990,11.3,5.50220914482019,92.54,389.410807540662,5.9732,15.5018483856034,2838485353.96187,9896526025.77854,1.96313846488939,3595175.0,83.12
4516,LBN,1991,8.5,6.86839670860187,93.63,763.169026676028,7.4093,47.6556598595665,4690415092.53663,14790098775.879,2.03024916398365,3668912.0,83.472
4517,LBN,1992,8.0,8.07207113237074,93.15,899.563987659615,7.9591,97.4338199086854,5843579160.90122,17221346342.7057,2.1159367104979,3747371.0,83.818
4518,LBN,1993,5.4,6.37055255168226,95.15,1037.52060842051,11.4023,24.7430178138061,7941744492.23595,19075339624.5917,1.93652525509607,3820647.0,84.157
4519,LBN,1994,5.3,6.41993364833176,95.18,1132.70634292415,12.5262,7.87371706042556,9599127050.17558,20621442059.1652,1.79377053397478,3889799.0,84.491
4520,LBN,1995,4.4,6.09422610082707,95.44,1180.8414347337,14.522,10.6790055674445,11718795528.5556,21951290517.4826,1.8072128760113,3960735.0,84.82
4521,LBN,1996,5.0,6.54102246739781,94.62,1611.48771147678,15.08,1.73810973618646,13690217333.5879,24428699054.1547,1.85224110517078,4034781.0,85.142
4522,LBN,1997,4.4,5.97248996280011,95.42,1847.43227602926,16.5598,11.5467672117432,15751867489.4446,24686413686.4571,1.80828501715332,4108405.0,85.459
4523,LBN,1998,5.5,6.35110051432368,95.11,2434.18225180274,16.4436,4.01791826450849,17247179005.5219,25591349424.6391,1.75827835901774,4181281.0,85.77
4524,LBN,1999,4.3,6.12356179810642,95.68,2467.05443617419,16.9446,0.812850465455782,17391056369.2265,25456845224.2295,1.75422008711836,4255277.0,85.885
4525,LBN,2000,4.9,6.9822895497814,94.04,2300.81259499138,15.3065,-2.08798314732812,17260364842.4544,25798443405.5655,1.72552456653499,4329340.0,86.0
4526,LBN,2001,4.6,6.90948834358053,94.66,2226.30226187766,16.5164,-1.52515154552069,17649751243.7811,26789018310.9609,1.66252495800846,4401918.0,86.118
4527,LBN,2002,5.7,7.3058626593534,95.21,2366.30234900652,16.4638,4.92118791987299,19152238805.9701,27706046545.3127,1.38937527602441,4463504.0,86.24
4528,LBN,2003,7.0,7.70283582144015,95.06,2488.78136995891,16.4687,1.58125248896708,20082918739.6352,28600147893.7267,1.37957282493925,4525508.0,86.366
4529,LBN,2004,6.1,8.36249862085703,95.07,2186.42965560472,16.6883,-1.2346616322255,21159827992.0398,30510478932.4999,1.6169716035759,4599279.0,86.494
4530,LBN,2005,6.4,9.28231098203252,94.41,2269.05770843797,16.5738,-1.06220705635945,21497336498.8391,31329923063.1007,1.54954660675644,4671102.0,86.627
4531,LBN,2006,6.4,10.4610522593402,93.69,2258.82820445468,16.1321,0.880737586375261,22022709851.4096,31815384920.7126,1.69887292002787,4751136.0,86.762
4532,LBN,2007,7.3,13.7832352109477,92.67,2056.92759755233,14.9461,3.13292372272159,24827355014.9254,34777595316.005,1.93814380795793,4844118.0,86.901
4533,LBN,2008,5.1,11.6979312463689,95.59,2301.15439418162,18.3102,7.53328390625055,29118916105.4726,37931620043.7015,1.66309647863534,4925354.0,87.042
4534,LBN,2009,4.3,10.1647491729301,95.62,2473.01487274269,21.5577,10.2845410020847,35399582928.6899,41812842419.7439,1.34979711881761,4992287.0,87.187
4535,LBN,2010,5.7,11.5530479956681,94.84,2994.0761170558,20.6572,0.578606723263135,38443907042.1227,45147473283.5593,0.976748358836896,5041288.0,87.334
4536,LBN,2011,6.2,11.9127849973551,95.07,2998.22214198531,20.9802,2.96508062083976,39927125961.5257,45539055323.5066,1.07982379188685,5096020.0,87.484
4537,LBN,2012,5.6,11.6527692637228,95.68,2926.23280520698,23.4349,7.48605187549234,44016799515.7546,46707037069.3046,2.70487296695382,5235742.0,87.636
